pair,price,source,volume
XRP/KRW,$0.869647,Bithumb,"$92,599,800"
XRP/JPY,$0.858128,Bitbank,"$75,286,300"
XRP/BTC,$0.860985,Binance,"$62,080,900"
XRP/KRW,$0.868721,Upbit,"$58,995,100"
XRP/USDT,$0.861786,Huobi,"$39,240,700"
XRP/USD,$0.863210,Bitfinex,"$31,819,800"
XRP/USDT,$0.862386,CoinBene,"$24,701,400"
XRP/USDT,$0.862485,OKEx,"$21,327,300"
XRP/BTC,$0.861817,OKEx,"$16,968,600"
XRP/KRW,$0.870573,Coinone,"$14,917,900"
XRP/USD,$0.860330,Bitstamp,"$11,254,600"
XRP/BTC,$0.860153,Huobi,"$10,349,700"
XRP/ETH,$0.853077,Binance,"$10,024,700"
XRP/KRW,$0.871499,Korbit,"$9,733,560"
XRP/BTC,$0.862002,Bitfinex,"$8,666,640"
XRP/BTC,$0.859691,Bittrex,"$8,501,400"
XRP/BTC,$0.862649,Poloniex,"$7,496,110"
XRP/USD,$0.862580,Kraken,"$6,164,670"
XRP/EUR,$0.850594,Kraken,"$5,913,470"
XRP/ETH,$0.856257,OKEx,"$4,236,740"
XRP/BTC,$0.859599,Upbit,"$4,115,140"
XRP/BTC,$0.856826,CoinEgg,"$3,963,310"
XRP/EUR,$0.855925,Bitstamp,"$3,499,800"
XRP/TRY,$0.832040,Sistemkoin,"$3,282,140"
XRP/TRY,$0.855672,Vebitcoin,"$3,256,450"
XRP/BTC,$0.861725,HitBTC,"$3,154,770"
XRP/USDT,$0.863985,ZB.COM,"$3,073,730"
XRP/USDT,$0.863485,Poloniex,"$2,816,280"
XRP/USDT,$0.860468,Bittrex,"$2,210,110"
XRP/TRY,$0.831771,BTCTurk,"$2,054,970"
XRP/USDT,$0.861986,Gate.io,"$1,993,890"
XRP/KRW,$0.872425,GOPAX,"$1,830,840"
XRP/CNY,$0.865745,RippleFox,"$1,614,010"
XRP/BTC,$0.860708,Kraken,"$1,495,820"
XRP/USD,$0.851500,Exmo,"$1,405,930"
XRP/BTC,$0.859321,Bitstamp,"$1,351,090"
XRP/USD,$0.846650,Exrates,"$1,270,700"
XRP/AUD,$0.854020,BTC Markets,"$1,242,470"
XRP/TRY,$0.833492,Koineks,"$1,119,870"
XRP/BTC,$0.855624,OTCBTC,"$1,086,780"
XRP/INR,$0.841342,Zebpay,"$974,138"
XRP/BTC,$0.864867,ZB.COM,"$931,036"
XRP/USD,$0.853500,CEX.IO,"$893,230"
XRP/USDT,$0.862885,HitBTC,"$869,295"
XRP/JPY,$0.857700,Quoine,"$857,310"
XRP/IDR,$0.847189,Indodax,"$772,363"
XRP/BTC,$0.858767,Exmo,"$755,074"
XRP/INR,$0.808263,BuyBitcoin,"$719,422"
XRP/ETH,$0.861943,OTCBTC,"$716,318"
XRP/THB,$0.836755,BX Thailand,"$670,760"
XRP/MXN,$0.842413,Bitso,"$665,445"
XRP/INR,$0.838049,Koinex,"$640,914"
XRP/USD,$0.834743,Gatehub,"$539,769"
XRP/CNY,$0.868396,Ripple China,"$537,216"
XRP/INR,$0.838199,Unocoin,"$516,726"
XRP/USDT,$0.863197,Upbit,"$489,720"
XRP/XLM,$0.896969,RippleFox,"$421,695"
XRP/INR,$0.844186,Bitbns,"$387,471"
XRP/ETH,$0.864822,Bittrex,"$367,303"
XRP/CKUSD,$0.875000,BCEX,"$352,416"
XRP/RUB,$0.782042,Exmo,"$349,456"
XRP/BTC,$0.862279,CoinEx Market,"$321,150"
XRP/USD,$0.853119,Bitstamp (Ripple Gateway),"$242,732"
XRP/ETH,$0.889879,Gatehub,"$201,264"
XRP/INR,$0.799283,BuyUcoin,"$198,159"
XRP/ETH,$0.853701,Upbit,"$191,166"
XRP/BTC,$0.860468,Exrates,"$156,183"
XRP/TRY,$0.879574,Ovis,"$156,112"
XRP/BTC,$0.859599,Indodax,"$149,754"
XRP/EUR,$0.839603,Gatehub,"$130,524"
XRP/BTC,$0.860061,CEX.IO,"$113,955"
XRP/JPY,$0.819157,Mr. Exchange,"$107,822"
XRP/BTC,$0.853855,Gatehub,"$107,017"
XRP/BTC,$0.860985,Coinrail,"$102,805"
XRP/BTC,$0.863296,Gate.io,"$97,972"
XRP/CNY,$0.825147,Fatbtc,"$96,089"
XRP/ETH,$0.861534,HitBTC,"$84,492"
XRP/BTC,$0.859506,BTC Markets,"$81,270"
XRP/BTC,$0.834643,Qryptos,"$75,132"
XRP/CAD,$0.817715,Kraken,"$64,813"
XRP/EUR,$0.848768,LiteBit.eu,"$64,551"
XRP/EUR,$0.851992,CEX.IO,"$60,121"
XRP/BTC,$0.896571,Ovis,"$59,547"
XRP/BTC,$0.866716,Bitsane,"$40,422"
XRP/BTC,$0.863504,Bitstamp (Ripple Gateway),"$39,023"
XRP/ETC,$0.935375,Gatehub,"$29,985"
XRP/USDT,$0.864677,Sistemkoin,"$29,738"
XRP/BTC,$0.851373,Bitso,"$27,249"
XRP/UAH,$0.823281,Kuna,"$21,534"
XRP/KRW,$0.833528,Coinrail,"$17,457"
XRP/BTC,$0.861910,BitBay,"$15,671"
TRX/XRP,$0.877935,Koinex,"$15,500"
XRP/BTC,$0.874572,BCEX,"$12,984"
XRP/PLN,$0.867763,BitMarket,"$12,268"
XRP/BTC,$0.873874,Mr. Exchange,"$7,474"
XRP/BTC,$0.866901,Tripe Dice Exchange,"$7,110"
XRP/BTC,$0.866901,Bits Blockchain,"$7,065"
XRP/UAH,$0.780112,BTC Trade UA,"$7,049"
XRP/ETH,$0.860493,Bitsane,"$7,022"
BTC/XRP,$0.865069,The Rock Trading,"$6,834"
XRP/ETH,$0.904098,Mr. Exchange,"$6,434"
XRP/BRL,$0.864544,Braziliex,"$6,357"
XRP/BTC,$0.873463,Coinbe,"$5,980"
XRP/EUR,$0.860031,The Rock Trading,"$5,912"
XRP/USD,$0.851100,Sistemkoin,"$5,213"
ONT/XRP,$0.865594,Koinex,"$5,061"
XRP/LTC,$0.866603,Bitsane,"$4,820"
XRP/QAU,$0.864503,Gatehub,"$3,689"
XRP/GBP,$0.914119,Cryptomate,"$3,597"
NCASH/XRP,$0.822563,Koinex,"$3,567"
XRP/ETH,$0.861548,Koinex,"$3,027"
ICN/XRP,$0.852757,Bitsane,"$2,417"
XRP/USD,$0.852377,Bitsane,"$2,129"
EOS/XRP,$0.858381,Koinex,"$1,987"
XRP/RUB,$0.843812,BitFlip,"$1,984"
REQ/XRP,$0.880889,Koinex,"$1,928"
XRP/ADA,$0.917882,Mr. Exchange,"$1,805"
XRP/BTC,$0.831870,Abucoins,"$1,049"
XRP/USD,$0.881000,BitFlip,$802
AE/XRP,$0.860752,Koinex,$785
XRP/BTC,$0.822627,CoinFalcon,$518
XRP/BCH,$0.861406,Bitsane,$442
XRP/JPY,$0.863400,Kraken,$413
XRP/USD,$0.780000,BitBay,$138
OMG/XRP,$0.884808,Koinex,$103
XRP/BTC,$0.720954,LakeBTC,$71
XRP/USD,$0.812826,Mr. Exchange,$64
XRP/BTC,$0.831870,BitFlip,$36
XRP/ETH,$0.848223,CoinFalcon,$32
XRP/BTC,$0.788243,Orionx,$25
XRP/EUR,$0.847711,Bitsane,$18
XRP/EUR,$0.884628,BitBay,$4
XRP/UAH,$0.897778,BitFlip,$0
XRP/EUR,$0.262997,Quoine,$0
XRP/IDR,$0.002080,Quoine,$0
XRP/SGD,$0.905596,Quoine,$0
XRP/USD,$1.10,Quoine,$0
XRP/EUR,$0.933462,Bitlish,$0
XRP/XLM,$0.870967,Stellar Decentralized Exchange,$0
XRP/EUR,$0.955159,BitFlip,$0
XRP/USD,$0.856500,xBTCe,"**

$5,088"
